# 60970 peyv, 24400 werger
# Amadekar: Erdal Ronahî 
# www.ferheng.org
# Nûkirina dawî: 2005-07-29 
# 
# kurdî	türkçe

-dar	-li 
bandêr	egemen
bandêr	etkili
bandêr	etkin
bandêr	luğ
bandêr	silindir
bandêrî	etkinlik
bandor	etken
bandor	etki
bandor	tesir
bandor kirin	tesir etmek
bandor lê kirin	etkilemek
bandorlêkirin	etkilemek
bane	mandıra
bane	otlak
bane	yayla
banedar	mandıracı
banegeh	satıh
banegeh	yüzey
banegehî	yüzeysel
banek	alışkın
banek	itiyat
banek	müptela
baneşan	ünlem
baneşan	ünlem işareti
bang	çağrı
bang	ezan
bang	hitap
bang	nida
bang kirin	çağırmak
bang kirin	çağrıda bulunmak
bang kirin	ezan okumak
bang kirin	hitap etmek
bangbêj	çığırtkan
bangbêj	müezzin
bangbêj	tellal
bangdan	ezan okumak
banger	loğ
bangerkêş	loğ ağacı
bangeşe	propaganda
bangeşevan	propagandacı
bangevan	çığırtkan
bangevan	müezzin
bangevan	tellal
bangewaz	çağrı
bangewaz	imdat
bangewaz	yardım talebî
bangewazî	çağrı
bangêr	bankacı
bangêrî	bankacılık
bangîn	çığırtkan
banglêkirin	çağırmak
banglêkirin	seslenmek
banî	dam
banî	damın üstü
banî	yukarı
banîje	çatı katı
banîn	alışmak
banîn	uyum sağlamak
bank	banka
banknot	banknot
banok	intibak etmeye eğilimli olan
banû	hanım
banû	hanımefendi
baperik	kelebek
bapêç	karla karışık rüzgar
bapêç	tipi
bapêş	nezle
bapîr	büyük baba
bapîr	büyükbaba
bapîr	dede
bapîv	rüzgar ölçer
baq	buket
baq	demet
baq	tutam
baqil	bakla
baqle	bakla
bar	bar
bar	sorumluluk
bar	yük
bar kirin	taşınmak
bar kirin	yük
bar kirin	yüklemek
baran	yağış
baran	yağmur
barandin	yağdırmak
baranî	yağmurluk
barbar	barbar
barbir	taşıt
barbû	iane
barbû dan hev	iane toplamak
barbûn	barbunya
bare	baharlık buğday
bare	konu
bare	mevzu
baregeh	kamp
baregeh	üs
barek	cephane
bareng	tersane
bareş	doğu rüzgarı
bareş	karayel
barfisk	dizin arka iç kısmı
bargeh	karargah
bargeh	üs
barij	yağışlı
barimte	ipotek
barist	hacim
barîdox	durum
barîdox	vaziyet
barîn	yağış
barîn	yağmak
barkaz	mazgal
barkêş	nakliyeci
barkêş	taşımacı
barkêşî	nakliyecilik
barkêşî	taşımacılık
barkirin	taşınmak
barkirin	yüklemek
barname	irsaliye
baro	baro
bars	oğul (arıların oğul vermesi)
barû	kule
barû	mazgal
barûd	barut
barûya naqos	çan kulesi
barxane	ardiye
barxane	depo
basîret	basiret
bask	kanat
bask	kol
basketbol	basketbol
baskkêş	mil
baskkêş	şaft mili
bastan	gelenek
bastan	görenek
bastanasî	arkeoloji
bastanî	geleneksel
bastanparêzî	gelenekselcilik
bastiq	pestil
baş	güzel
baş	hoş
baş	iyi
başebaş	doğru dürüst
başebaş	tam olarak
başî	iyilik
başkirin	tedavi
başok	akmaca
başok	atmaca
başok	doğan
baştir	âlâ
baştir	daha iyi
baştir	ekstra
başûr	güney
batirsok	bostan korkuluğu
bav	baba
bav	peder
bavik	ata
bavik	klan
bavik	soy
bavkanî	babaerkil
bavmarî	babalık
bavmarî	üvey baba
bavtî kirin	babalık yapmak
bawer	güvenen
bawer	inanan
bawer kirin	güvenmek inanmak
bawer kirin	itimat etmek
bawerî	akide
bawerî	güven
bawerî	inanç
bawerî	inanma
bawerî	itikat
bawerî	kanı
bawerî bûn	güvenmek
bawerî bûn	inanmak
bawerî bûn	itimat etmek
bawerî pê anîn	inanmak
bawerîmend	inançlı
bawerîmend	inanmış
bawerîmend	mümin
bawerîmend	mutemet
bawerîpêanîn	güvenmek
bawerîpêanîn	inanmak
bawerkirin	güvenmek
bawerkirin	inanmak
bawermend	inanan
bawermend	mümin
bawername	itimatname
bawesîr	basur
baweş	yelpaze
baweşandin	yelpazelemek
baweşên	vantilatör
baweşîn	yelpazelemek
baweşînk	yelpaze
bawiş	doğurduğu halde süt vermeyen hayvan
bawişk	esneme
bawişkîn	esnemek
bawî	romatizmalı
bawîşk	esnemek
baxçe	bahçe
baxçevan	bahçıvan
baxir	kaya
baxol	bavul
baxor	aralık
baxor	çığır
baxor	gedik
baxoşk	havalandırma tertibatı
baxur	buhur
baxur	tütsü
baxurdan	buhurdan
bayê başûr	lodos. (güney rüzgarı)
bayê reş	karayel
bayê weşt	keşişleme
bayêbezê	alelacele
bayî	bayi
baz	pazı
baz	şahin
bazar	alış veriş yeri
bazar	pazar
bazar	piyasa
bazara kevnefroşan	bitpazarı
bazara reş	karaborsa
bazarî	pazarlık
bazarî kirin	pazarlık yapmak
bazbend	görevli kolluğu
bazbend	kol muskası
bazbend	kola bağlanan muska
bazbend	kolluk
bazbend	pazubandı
bazdan	atlamak
bazdan	koşmak
bazin	bilezik
bazind	bilek
bazirgan	tüccar
bazirganî	ticaret
bazirganî	ticari
bazirganxane	ticarethane
bazor	fırtına
bazor	sert rüzgar
be	olsun
bed	çirkin
bed	kötü
bedawaz	kötü sesli
bedbext	mutsuz
bedbext	talihsiz
bedbîn	karamsar
bedbîn	kötümser
bedbîn	pesimist
beden	beden
beden	gövde
beden	hisar
beden	sur
bedenparêzî	beden eğitimi
bedestan	bedesten
bedew	güzel
bedew	yakışıklı
bedew bûn	güzelleşmek
bedew kirin	güzelleştirmek
bedewî	güzellik
bedewkarî	estetik
bedgeh	çıkıntı
bedil	takım elbise
bedilandin	şeklini değiştirmek
bedilîn	şekil olarak değişmek
bedl	dolunay
beg	bey
behicandin	boğulmak
behicandin	kahretmek
behicandin	öfkelendirmek
behicandin	sinirlendirmek
behicîn	kahrolmak
behicîn	öfkelenmek
behît	acayip
behît	mucize
behît	tansık
behîtandin	afallatmak
behîtandin	şaşırtmak
behîtîn	şaşırmak
behîv	badem
behîvter	çağla
behle	ahmak
behle	aptal
behn	koku
behn dan	kokmak
behn ketin	kokuşmak
behndar	kokulu
behnî	kokmuş
behr	deniz
Behram	Mars
Behram	Merih
behre	yetenek
behredar	yetenekli
